AUC,EER,F1,Accuracy,rank,alpha,dropout,parameter_count
0.836,0.195,0.8984,0.8273,32,64,0.05,0.774091928087435
0.839,0.18,0.9388,0.8909,8,32,0.05,0.19490642176035639
0.839,0.2,0.934,0.8818,8,64,0.1,0.19490642176035639
0.841,0.17,0.9149,0.8545,16,64,0.1,0.38871807129431446
0.786,0.245,0.8229,0.7182,16,64,0.05,0.38871807129431446
0.796,0.295,0.7485,0.6273,32,16,0.1,0.774091928087435
0.835,0.21,0.8324,0.7364,32,32,0.1,0.774091928087435
0.787,0.36,0.6968,0.5727,32,16,0.0,0.774091928087435
0.828,0.2,0.8865,0.8091,32,32,0.05,0.774091928087435
0.808,0.21,0.8619,0.7727,16,32,0.0,0.38871807129431446
0.837,0.16,0.9394,0.8909,8,16,0.0,0.19490642176035639
0.839,0.335,0.8681,0.7818,16,64,0.0,0.38871807129431446
0.811,0.295,0.8295,0.7273,16,16,0.0,0.38871807129431446
0.833,0.19,0.8852,0.8091,32,64,0.0,0.774091928087435
0.848,0.21,0.9293,0.8727,8,16,0.1,0.19490642176035639
0.795,0.3,0.8556,0.7636,16,16,0.05,0.38871807129431446
0.8,0.33,0.8023,0.6909,32,32,0.0,0.774091928087435
0.886,0.185,0.9394,0.8909,8,64,0.05,0.19490642176035639
0.786,0.32,0.877,0.7909,32,16,0.05,0.774091928087435
0.803,0.27,0.8877,0.8091,16,32,0.1,0.38871807129431446
0.872,0.19,0.949,0.9091,8,64,0.0,0.19490642176035639
0.842,0.19,0.9333,0.8818,8,32,0.1,0.19490642176035639
0.808,0.325,0.8427,0.7455,16,16,0.1,0.38871807129431446
0.871,0.155,0.9319,0.8818,8,16,0.05,0.19490642176035639
0.865,0.22,0.8865,0.8091,16,32,0.05,0.38871807129431446
0.833,0.19,0.8791,0.8,32,64,0.1,0.774091928087435
0.83,0.215,0.94,0.8909,8,32,0.0,0.19490642176035639
